coder,discourse_source,tool,text_unit-original,realism_authenticity_frame,human_creativity_cultural_frame,production_control_frame,    realism_benefit_presence,    realism_concern_presence,    human_benefit_presence,    human_concern_presence,    control_benefit_presence,    control_concern_presence,    benefit_score,    concern_score,    balance_score
Eliana,official,Sora 2,"Our latest video generation model is more physically accurate, realistic, and more controllable than prior systems. It also features synchronized dialogue and sound effects. Create with it in the new Sora app.",benefit,absent,benefit,yes,no,no,no,yes,no,2,0,2
Eliana,official,Sora 2,"Today we’re releasing Sora 2, our flagship video and audio generation model.
The original Sora model⁠ from February 2024 was in many ways the GPT‑1 moment for video—the first time video generation started to seem like it was working, and simple behaviors like object permanence emerged from scaling up pre-training compute. Since then, the Sora team has been focused on training models with more advanced world simulation capabilities. We believe such systems will be critical for training AI models that deeply understand the physical world. A major milestone for this is mastering pre-training and post-training on large-scale video data, which are in their infancy compared to language.",benefit,absent,absent,yes,no,no,no,no,no,1,0,1
Eliana,official,Sora 2,"Prior video models are overoptimistic—they will morph objects and deform reality to successfully execute upon a text prompt. For example, if a basketball player misses a shot, the ball may spontaneously teleport to the hoop. In Sora 2, if a basketball player misses a shot, it will rebound off the backboard. Interestingly, “mistakes” the model makes frequently appear to be mistakes of the internal agent that Sora 2 is implicitly modeling; though still imperfect, it is better about obeying the laws of physics compared to prior systems. This is an extremely important capability for any useful world simulator—you must be able to model failure, not just success.",benefit,absent,absent,yes,no,no,no,no,no,1,0,1
Eliana,official,Sora 2,"The model is also a big leap forward in controllability, able to follow intricate instructions spanning multiple shots while accurately persisting world state. It excels at realistic, cinematic, and anime styles.",benefit,absent,benefit,yes,no,no,no,yes,no,2,0,2
Eliana,official,Sora 2,"As a general purpose video-audio generation system, it is capable of creating sophisticated background soundscapes, speech, and sound effects with a high degree of realism.",benefit,absent,absent,yes,no,no,no,no,no,1,0,1
Eliana,official,Sora 2,"You can also directly inject elements of the real world into Sora For example, by observing a video of one of our teammates, the model can insert them into any Sora-generated environment with an accurate portrayal of appearance and voice. This capability is very general, and works for any human, animal or object.",benefit,absent,absent,yes,no,no,no,no,no,1,0,1
Eliana,official,Sora 2,"The model is far from perfect and makes plenty of mistakes, but it is validation that further scaling up neural networks on video data will bring us closer to simulating reality.",both,absent,absent,yes,yes,no,no,no,no,1,1,0
Eliana,official,Sora 2,"On the road to general-purpose simulation and AI systems that can function in the physical world, we think people can have a lot of fun with the models we’re building along the way.",benefit,absent,absent,yes,no,no,no,no,no,1,0,1
Eliana,official,Sora 2,"We first started playing with this “upload yourself” feature several months ago on the Sora team, and we all had a blast with it. It kind of felt like a natural evolution of communication—from text messages to emojis to voice notes to this.",absent,benefit,absent,no,no,yes,no,no,no,1,0,1
Eliana,official,Sora 2,"So today, we’re launching a new social iOS app just called “Sora,” powered by Sora Inside the app, you can create, remix each other’s generations, discover new videos in a customizable Sora feed, and bring yourself or your friends in via a feature called “characters”. With characters, you can drop yourself straight into any Sora scene with remarkable fidelity after a short one-time video-and-audio recording in the app to verify your identity and capture your likeness.",benefit,absent,absent,yes,no,no,no,no,no,1,0,1
